Time FPS FVS FVT FDS SHD SB PIN WHB WHT CEP BFS BFF BG BMD BML BMS ZL BD MA SG BC ZG PL PS ZM ZS PB BB BO DL DR DC DIN RelFPS RelFVS RelFVT RelFDS RelSHD RelSB RelPIN RelWHB RelWHT RelCEP RelBFS RelBFF RelBG RelBMD RelBML RelBMS RelZL RelBD RelMA RelSG RelBC RelZG RelPL RelPS RelZM RelZS RelPB RelBB RelBO RelDL RelDR RelDC RelDIN PelDemRatio PiscivPlankRatio DivCount InfEpiRatio BSSslope HabitCover
2.000000e+01 132113.302914 72198.182909 9276.735598 72541.301704 14940.624622 87.972378 1058.451854 1384.896738 1511.425761 76704.819163 24521.409635 244467.688094 2504.593401 329938.156673 2491.429784 19651.349257 1019115.635862 1033136.401101 2446967.379076 2446.915986 1246184.978883 4255489.134194 5140564.729588 61364311.148601 743574.020581 42685482.368589 21014211.199161 2084457.739196 2077773.951641 10572910.175751 41658326.218644 0.000000 4306055973.831770 0.985888 0.984780 0.786487 1.004905 0.979386 1.031733 0.987079 1.013877 0.999375 1.023682 1.002001 0.998951 1.023434 0.999899 1.018055 1.003749 1.126697 0.994405 0.999887 0.999866 0.999555 1.135852 1.690568 1.084799 1.134936 1.138706 56.089988 1.003156 0.999940 1.017654 1.002414 1.000000 2.028979 0.000945 0.000000 23.200000 9.546036 -9384.510117 0.091933
2.100000e+01 132023.895162 72168.149964 9275.975743 72558.895879 14926.278902 87.972368 1057.747021 1384.896738 1511.377614 76694.447214 24523.953338 244454.504909 2507.500091 329936.490662 2493.756163 19655.093407 1019056.412043 1032853.810563 2446953.186907 2446.899287 1246157.851813 4255479.121201 5139745.719313 61348568.371972 743734.727416 42691226.450733 21198958.410996 2084883.245319 2077767.817035 10580679.029776 41663011.897359 0.000000 4306129276.892307 0.985221 0.984370 0.786423 1.005149 0.978446 1.031733 0.986422 1.013877 0.999343 1.023543 1.002105 0.998897 1.024622 0.999894 1.019006 1.003940 1.126632 0.994133 0.999881 0.999859 0.999533 1.135849 1.690299 1.084521 1.135181 1.138859 56.583105 1.003361 0.999937 1.018402 1.002527 1.000000 2.029014 0.000945 0.000000 23.200000 9.545430 -9378.091864 0.091930
2.200000e+01 131935.051006 72138.634455 9275.216202 72576.484475 14912.063932 87.972358 1057.043831 1384.896738 1511.329467 76684.078473 24526.496886 244441.310515 2510.409998 329934.824699 2496.088209 19658.837953 1018997.252932 1032571.381551 2446938.985016 2446.882562 1246130.724286 4255469.107695 5138925.447878 61332770.539691 743895.444767 42696966.496318 21364310.046532 2085317.638714 2077761.683580 10588399.240205 41667673.507557 0.000000 4306200730.682004 0.984558 0.983967 0.786358 1.005392 0.977514 1.031733 0.985766 1.013877 0.999311 1.023405 1.002209 0.998843 1.025811 0.999889 1.019959 1.004131 1.126566 0.993861 0.999875 0.999852 0.999512 1.135847 1.690029 1.084241 1.135427 1.139012 57.024453 1.003570 0.999934 1.019145 1.002639 1.000000 2.029047 0.000945 0.000000 23.200000 9.544824 -9371.714070 0.091926
2.300000e+01 131846.762124 72109.623845 9274.456977 72594.067622 14897.977784 87.972348 1056.342278 1384.896738 1511.281321 76673.712760 24529.040269 244428.104840 2513.323125 329933.158781 2498.425935 19662.582890 1018938.156560 1032289.111864 2446924.773395 2446.865813 1246103.594112 4255459.093676 5138103.971667 61316924.749504 744056.171976 42702701.727036 21513090.914725 2085760.864390 2077755.553283 10596074.011860 41672312.142190 0.000000 4306270584.972009 0.983899 0.983572 0.786294 1.005636 0.976591 1.031733 0.985112 1.013877 0.999279 1.023266 1.002313 0.998789 1.027001 0.999884 1.020914 1.004323 1.126501 0.993589 0.999870 0.999845 0.999490 1.135844 1.689759 1.083961 1.135672 1.139165 57.421571 1.003783 0.999931 1.019883 1.002751 1.000000 2.029080 0.000946 0.000000 23.200000 9.544218 -9365.376136 0.091923
2.400000e+01 131759.020423 72081.105999 9273.698068 72611.644450 14884.018570 87.972338 1055.642356 1384.896738 1511.233175 76663.350064 24531.583475 244414.887817 2516.239472 329931.492908 2500.769351 19666.328214 1018879.121379 1032007.002893 2446910.552038 2446.849039 1246076.463668 4255449.080731 5137281.340779 61301037.560634 744216.908698 42708431.503247 21647603.860260 2086212.834623 2077749.423961 10603706.117503 41676928.813265 0.000000 4306339044.783355 0.983244 0.983183 0.786230 1.005879 0.975676 1.031733 0.984459 1.013877 0.999247 1.023128 1.002417 0.998735 1.028193 0.999879 1.021872 1.004514 1.126436 0.993318 0.999864 0.999839 0.999468 1.135841 1.689488 1.083680 1.135917 1.139318 57.780605 1.004001 0.999928 1.020618 1.002862 1.000000 2.029112 0.000946 0.000000 23.200000 9.543613 -9359.077483 0.091920
2.500000e+01 131671.818021 72053.069171 9272.939474 72629.215876 14870.184443 87.972328 1054.944058 1384.896738 1511.185030 76652.990376 24534.126493 244401.659381 2519.159042 329929.827078 2503.118470 19670.073921 1018820.145895 1031725.053996 2446896.320942 2446.832241 1246049.332713 4255439.068861 5136457.600393 61285114.574111 744377.654547 42714155.270564 21769733.880477 2086673.473615 2077743.295829 10611297.985675 41681524.448665 0.000000 4306406278.088306 0.982593 0.982800 0.786165 1.006123 0.974769 1.031733 0.983808 1.013877 0.999216 1.022990 1.002521 0.998681 1.029386 0.999874 1.022832 1.004705 1.126370 0.993046 0.999858 0.999832 0.999446 1.135839 1.689217 1.083399 1.136163 1.139471 58.106588 1.004223 0.999925 1.021349 1.002973 1.000000 2.029144 0.000946 0.000000 23.200000 9.543008 -9352.817544 0.091916
2.600000e+01 131582.341266 72024.519895 9272.185256 72646.676528 14856.406002 87.972317 1054.222516 1384.896738 1511.135523 76642.473083 24536.729093 244388.143619 2522.097058 329928.161248 2505.527494 19673.906946 1018760.680694 1031442.902081 2446881.866119 2446.815339 1246022.164471 4255428.891563 5135632.586146 61269017.099636 744542.270745 42719946.676566 21881046.628106 2087143.232364 2077737.161768 10618850.472660 41686100.789402 0.000000 4306472780.650059 0.981925 0.982411 0.786101 1.006365 0.973865 1.031733 0.983135 1.013877 0.999183 1.022850 1.002627 0.998626 1.030587 0.999869 1.023816 1.004901 1.126305 0.992775 0.999852 0.999825 0.999425 1.135836 1.688946 1.083114 1.136414 1.139625 58.403698 1.004449 0.999922 1.022076 1.003083 1.000000 2.029175 0.000946 0.000000 23.200000 9.542403 -9346.394338 0.091913
2.700000e+01 131493.423212 71996.462655 9271.431350 72664.131886 14842.750582 87.972307 1053.502700 1384.896738 1511.086017 76631.958881 24539.331466 244374.615715 2525.038316 329926.495458 2507.942512 19677.740361 1018701.275985 1031160.909546 2446867.401365 2446.798412 1245994.995357 4255418.715363 5134807.020703 61252969.106468 744706.896002 42725730.860878 21982880.611889 2087621.516312 2077731.029223 10626366.699341 41690657.203389 0.000000 4306538250.994934 0.981262 0.982028 0.786037 1.006606 0.972970 1.031733 0.982464 1.013877 0.999150 1.022709 1.002733 0.998571 1.031789 0.999864 1.024803 1.005097 1.126239 0.992503 0.999846 0.999818 0.999403 1.135833 1.688675 1.082831 1.136665 1.139780 58.675508 1.004679 0.999919 1.022799 1.003192 1.000000 2.029206 0.000947 0.000000 23.200000 9.541798 -9340.011239 0.091910
2.800000e+01 131405.055784 71968.885595 9270.677756 72681.581724 14829.216412 87.972297 1052.784603 1384.896738 1511.036511 76621.447764 24541.933601 244361.075614 2527.982816 329924.829708 2510.363538 19681.574163 1018641.930656 1030879.075832 2446852.926678 2446.781461 1245967.825149 4255408.540259 5133980.437650 61236904.552713 744871.530193 42731507.468606 22076353.341110 2088108.256078 2077724.898398 10633848.333120 41695194.464270 0.000000 4306602838.850110 0.980603 0.981652 0.785973 1.006848 0.972083 1.031733 0.981794 1.013877 0.999117 1.022569 1.002840 0.998515 1.032992 0.999859 1.025792 1.005293 1.126173 0.992232 0.999840 0.999811 0.999381 1.135830 1.688403 1.082547 1.136917 1.139934 58.925000 1.004913 0.999916 1.023519 1.003302 1.000000 2.029237 0.000947 0.000000 23.200000 9.541194 -9333.667667 0.091906
2.900000e+01 131317.231099 71941.777243 9269.924473 72699.025805 14815.801756 87.972286 1052.068220 1384.896738 1510.987006 76610.940207 24544.535484 244347.523261 2530.930562 329923.163998 2512.790586 19685.408347 1018582.643561 1030597.401421 2446838.442054 2446.764483 1245940.654939 4255398.364781 5133152.874804 61220818.884145 745036.173092 42737276.178598 22162412.850259 2088603.374328 2077718.768287 10641296.862795 41699713.296481 0.000000 4306666636.301291 0.979947 0.981282 0.785910 1.007090 0.971204 1.031732 0.981126 1.013877 0.999085 1.022429 1.002946 0.998460 1.034196 0.999854 1.026784 1.005489 1.126108 0.991961 0.999834 0.999804 0.999359 1.135828 1.688131 1.082262 1.137168 1.140088 59.154705 1.005151 0.999913 1.024236 1.003410 1.000000 2.029267 0.000947 0.000000 23.200000 9.540590 -9327.363057 0.091903
