Time Box FPS FVS FVT FDS SHD SB PIN WHB WHT CEP BFS BFF BG BMD BML BMS ZL BD MA SG BC ZG PL PS ZM ZS PB BB BO DL DR DC
1.050000e+03 7 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1.050000e+03 8 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1.050000e+03 9 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1.050000e+03 10 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1.080000e+03 0 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1.080000e+03 1 4.497163e+04 3.489046e+04 4.402869e+03 3.167907e+04 5.518985e+03 1.689977e-01 9.111249e+02 1.938378e-14 3.034295e+02 8.279140e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 6.584526e+03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.056629e+04 7.957225e+02 7.997949e+06 8.534889e+03 1.858181e+05 6.470943e+03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.013865e-11
1.080000e+03 2 3.002175e+04 1.527879e+04 2.835897e+03 2.670541e+04 5.358246e+03 1.339697e-01 8.523522e-17 2.553358e-14 2.145148e+02 3.312234e+02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.426988e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.726500e+04 1.563075e+05 3.406205e+06 1.078500e+04 4.423190e+05 1.634424e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.561928e-11
1.080000e+03 3 3.212985e+04 2.142800e+04 4.095181e+03 3.351388e+04 5.358191e+03 1.845018e-01 8.523522e-17 2.556505e-14 3.039408e+02 3.128335e+02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.279191e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.670840e+04 1.185481e+05 3.979633e+06 1.072467e+04 4.572875e+05 1.643089e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.496383e-11
1.080000e+03 4 8.899277e+03 2.612922e+02 3.722170e+03 2.779853e+03 3.839563e-17 2.617993e-01 8.523522e-17 3.171947e-14 3.363158e+02 4.025284e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 4.852413e+05 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.238519e+06 2.233754e+06 1.652470e+07 3.743016e+05 1.901267e+07 4.217631e+06 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.676241e-09
1.080000e+03 5 1.070318e+04 1.437870e+02 2.104860e+03 3.210734e+03 1.368211e-08 3.398115e-01 8.523522e-17 3.171790e-14 1.648844e+02 3.694161e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 5.117788e+05 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.362717e+06 1.865739e+06 3.706222e+07 4.075604e+05 2.286662e+07 3.696920e+06 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.303864e-09
