Time FPS FVS FVT FDS SHD SB PIN WHB WHT CEP BFS BFF BG BMD BML BMS ZL BD MA SG BC ZG PL PS ZM ZS PB BB BO DL DR DC DIN RelFPS RelFVS RelFVT RelFDS RelSHD RelSB RelPIN RelWHB RelWHT RelCEP RelBFS RelBFF RelBG RelBMD RelBML RelBMS RelZL RelBD RelMA RelSG RelBC RelZG RelPL RelPS RelZM RelZS RelPB RelBB RelBO RelDL RelDR RelDC RelDIN PelDemRatio PiscivPlankRatio DivCount InfEpiRatio BSSslope HabitCover
2.000000e+01 135322.000619 72876.266667 9301.202336 72869.018465 15262.193883 87.973846 1072.999855 1384.896738 1511.815892 82238.621677 24520.326936 244624.057608 2500.290364 329938.156497 2457.678755 19624.702135 1020614.940641 1037572.728479 2446967.488859 2446.915546 1246184.336547 4263640.339916 5130501.537873 61719057.858395 741943.634840 42610526.348565 20553298.531451 2074871.757832 2077773.820546 10570895.900702 41675096.960988 0.000000 4306356027.052673 1.009832 0.994029 0.788561 1.009445 1.000466 1.031751 1.000646 1.013877 0.999633 1.097534 1.001957 0.999590 1.021676 0.999899 1.004264 1.002388 1.128355 0.998675 0.999887 0.999866 0.999555 1.138028 1.687259 1.091070 1.132448 1.136707 54.859745 0.998543 0.999940 1.017460 1.002818 1.000000 2.029120 0.000169 0.000000 22.600000 9.554932 -9614.850690 0.091989
2.100000e+01 135390.185930 72874.596988 9302.366223 72903.152830 15262.676066 87.973911 1073.025930 1384.896738 1511.787662 82099.088743 24522.817228 244618.939999 2502.959075 329936.490467 2458.218918 19627.090507 1020630.370987 1037506.320494 2446953.309156 2446.898804 1246157.182140 4264045.741249 5129671.382239 61723272.144878 742022.366893 42612368.604330 20707110.379828 2074882.356547 2077767.673390 10578433.565553 41680202.074359 0.000000 4306449269.066585 1.010341 0.994006 0.788660 1.009918 1.000497 1.031751 1.000671 1.013877 0.999614 1.095672 1.002059 0.999569 1.022766 0.999894 1.004485 1.002510 1.128372 0.998611 0.999881 0.999859 0.999533 1.138136 1.686986 1.091145 1.132568 1.136756 55.270291 0.998548 0.999937 1.018185 1.002941 1.000000 2.029164 0.000168 0.000000 22.600000 9.554774 -9619.745462 0.091989
2.200000e+01 135458.344780 72872.934312 9303.529790 72937.281960 15263.163393 87.973976 1073.052028 1384.896738 1511.759434 81959.958293 24525.307658 244613.817750 2505.629776 329934.824484 2458.759453 19629.479463 1020645.813947 1037439.993574 2446939.120431 2446.882035 1246130.028457 4264451.083938 5128840.220535 61727331.156501 742101.021782 42614203.025041 20841321.562293 2074907.059675 2077761.526421 10585909.235959 41685262.627506 0.000000 4306540657.243050 1.010850 0.993983 0.788759 1.010390 1.000529 1.031752 1.000695 1.013877 0.999595 1.093815 1.002160 0.999548 1.023858 0.999889 1.004705 1.002632 1.128389 0.998547 0.999875 0.999852 0.999511 1.138244 1.686712 1.091216 1.132688 1.136805 55.628520 0.998560 0.999934 1.018905 1.003063 1.000000 2.029207 0.000167 0.000000 22.600000 9.554616 -9624.638335 0.091988
2.300000e+01 135526.476363 72871.278607 9304.693034 72971.405114 15263.655585 87.974041 1073.078148 1384.896738 1511.731206 81821.229167 24527.798236 244608.690880 2508.302517 329933.158545 2459.300358 19631.869004 1020661.267904 1037373.746079 2446924.922680 2446.865239 1246102.874120 4264856.367321 5128008.097834 61731248.134123 742179.599180 42616028.898540 20958803.575118 2074945.796621 2077755.380927 10593326.115302 41690280.542110 0.000000 4306630434.240286 1.011358 0.993961 0.788857 1.010863 1.000561 1.031753 1.000719 1.013877 0.999577 1.091964 1.002262 0.999527 1.024950 0.999884 1.004927 1.002754 1.128406 0.998483 0.999870 0.999845 0.999489 1.138352 1.686439 1.091286 1.132808 1.136853 55.942097 0.998579 0.999931 1.019619 1.003183 1.000000 2.029250 0.000166 0.000000 22.600000 9.554458 -9629.529250 0.091988
2.400000e+01 135594.580008 72869.629844 9305.855957 73005.522525 15264.152388 87.974105 1073.104290 1384.896738 1511.702978 81682.900044 24530.288983 244603.559367 2510.977346 329931.492649 2459.841633 19634.259129 1020676.731664 1037307.578538 2446910.715882 2446.848416 1246075.720549 4265261.592533 5127175.056043 61735034.031732 742258.099085 42617845.651477 21061899.182991 2074998.472268 2077749.235619 10600686.980885 41695257.340705 0.000000 4306718799.886655 1.011867 0.993938 0.788956 1.011336 1.000594 1.031754 1.000744 1.013877 0.999558 1.090118 1.002364 0.999506 1.026043 0.999879 1.005148 1.002876 1.128423 0.998419 0.999864 0.999838 0.999468 1.138460 1.686165 1.091353 1.132928 1.136902 56.217274 0.998604 0.999928 1.020327 1.003303 1.000000 2.029291 0.000165 0.000000 22.600000 9.554300 -9634.418159 0.091987
2.500000e+01 135662.655154 72867.987994 9307.018558 73039.633685 15264.653565 87.974170 1073.130451 1384.896738 1511.674751 81544.969670 24532.779909 244598.423219 2513.654309 329929.826796 2460.383278 19636.649839 1020692.204087 1037241.488654 2446896.500028 2446.831567 1246048.565439 4265666.759290 5126341.133795 61738698.024669 742336.521458 42619652.795433 21152527.693200 2075065.010132 2077743.092634 10607994.266651 41700194.535978 0.000000 4306805917.970055 1.012375 0.993916 0.789054 1.011808 1.000627 1.031754 1.000768 1.013877 0.999539 1.088277 1.002466 0.999485 1.027137 0.999874 1.005369 1.002998 1.128440 0.998356 0.999858 0.999831 0.999446 1.138569 1.685890 1.091417 1.133047 1.136950 56.459175 0.998636 0.999925 1.021031 1.003422 1.000000 2.029332 0.000165 0.000000 22.600000 9.554143 -9639.305023 0.091987
2.600000e+01 135733.054765 72866.303615 9308.248338 73073.746973 15265.181574 87.974237 1073.157075 1384.896738 1511.645698 81407.485556 24535.329675 244593.178327 2516.343212 329928.160940 2460.937763 19639.097128 1020708.154103 1037175.393254 2446882.061517 2446.814613 1246021.374959 4266080.144415 5125505.335458 61742276.555857 742418.173809 42621446.722522 21232251.887855 2075145.355165 2077736.941681 10615248.539489 41705092.550307 0.000000 4306892318.637041 1.012900 0.993893 0.789159 1.012281 1.000662 1.031755 1.000793 1.013877 0.999520 1.086442 1.002570 0.999464 1.028236 0.999869 1.005596 1.003123 1.128458 0.998292 0.999852 0.999825 0.999424 1.138679 1.685616 1.091481 1.133172 1.136998 56.671970 0.998675 0.999922 1.021729 1.003540 1.000000 2.029373 0.000164 0.000000 22.600000 9.553985 -9644.358751 0.091986
2.700000e+01 135803.423550 72864.626576 9309.477803 73107.853904 15265.713673 87.974303 1073.183719 1384.896738 1511.616645 81270.397495 24537.879652 244587.928488 2519.034320 329926.495123 2461.492634 19641.545029 1020724.111888 1037109.375709 2446867.613784 2446.797633 1245994.184416 4266493.469989 5124668.975725 61746085.580692 742499.746236 42623229.851624 21302473.512676 2075239.367865 2077730.791720 10622453.214973 41709952.848761 0.000000 4306977606.186157 1.013425 0.993870 0.789263 1.012753 1.000696 1.031756 1.000818 1.013877 0.999501 1.084613 1.002674 0.999442 1.029335 0.999864 1.005822 1.003248 1.128475 0.998229 0.999846 0.999818 0.999402 1.138789 1.685341 1.091548 1.133296 1.137045 56.859402 0.998720 0.999919 1.022422 1.003657 1.000000 2.029413 0.000163 0.000000 22.600000 9.553828 -9649.410267 0.091986
2.800000e+01 135873.761236 72862.956844 9310.706955 73141.955174 15266.249663 87.974370 1073.210382 1384.896738 1511.587593 81133.704248 24540.429850 244582.673716 2521.727671 329924.829346 2462.047891 19643.993541 1020740.076768 1037043.434957 2446853.156821 2446.780625 1245966.993058 4266906.736135 5123831.845721 61749789.342129 742581.239100 42625001.920059 21364332.197843 2075346.950424 2077724.643454 10629609.993493 41714776.657884 0.000000 4307061990.698917 1.013950 0.993847 0.789367 1.013226 1.000732 1.031757 1.000843 1.013877 0.999482 1.082788 1.002778 0.999421 1.030436 0.999859 1.006049 1.003373 1.128493 0.998165 0.999840 0.999811 0.999380 1.138900 1.685065 1.091613 1.133421 1.137093 57.024512 0.998772 0.999916 1.023111 1.003773 1.000000 2.029453 0.000162 0.000000 22.600000 9.553671 -9654.459550 0.091985
2.900000e+01 135944.067491 72861.294389 9311.935794 73176.050678 15266.789361 87.974436 1073.237063 1384.896738 1511.558542 80997.404561 24542.980279 244577.414022 2524.423303 329923.163606 2462.603535 19646.442664 1020756.047999 1036977.572378 2446838.690619 2446.763590 1245939.803260 4267319.941539 5122993.975926 61753393.019049 742662.652562 42626762.680455 21418795.385383 2075467.980114 2077718.494713 10636720.403953 41719565.130592 0.000000 4307145554.147673 1.014475 0.993824 0.789471 1.013698 1.000767 1.031758 1.000868 1.013877 0.999462 1.080969 1.002882 0.999399 1.031537 0.999854 1.006276 1.003498 1.128511 0.998102 0.999834 0.999804 0.999359 1.139010 1.684790 1.091677 1.133545 1.137140 57.169882 0.998830 0.999913 1.023796 1.003888 1.000000 2.029493 0.000162 0.000000 22.600000 9.553514 -9659.506577 0.091985
3.000000e+01 136014.342036 72859.639181 9313.164320 73210.139788 15267.332595 87.974503 1073.263762 1384.896738 1511.529491 80861.496804 24545.530947 244572.149415 2527.121252 329921.497902 2463.159565 19648.892399 1020772.025081 1036911.785585 2446824.215167 2446.746528 1245912.612468 4267733.086432 5122155.394672 61756900.658754 742743.986983 42628511.942627 21466689.493847 2075602.364677 2077712.347857 10643785.829925 41724319.314256 0.000000 4307228367.203479 1.014999 0.993802 0.789576 1.014170 1.000803 1.031758 1.000893 1.013877 0.999443 1.079156 1.002987 0.999378 1.032640 0.999849 1.006503 1.003623 1.128528 0.998039 0.999828 0.999797 0.999337 1.139120 1.684514 1.091739 1.133669 1.137186 57.297718 0.998895 0.999910 1.024476 1.004002 1.000000 2.029532 0.000161 0.000000 22.600000 9.553357 -9664.551327 0.091984
